sharp_metric,faith_metric,method,sharpness,faithfulness,dominated_by,on_frontier
spatial_entropy,MaxSensitivity,PullbackAscent,0.9718440771102905,1.054,"['Deconvolution', 'DeepLift', 'DistributionPullback', 'DoublePullback', 'Gradient', 'GuidedGradCam', 'MarginAscent', 'MarginPullback', 'Saliency', 'SoftPullback']",False
spatial_entropy,RandomLogit,GuidedGradCam,0.8466022610664368,0.364,[],True
spatial_entropy,RandomLogit,DeepLift,0.9401608109474182,0.013,[],True
spatial_entropy,RandomLogit,Deconvolution,0.9628099203109741,1.0,"['DeepLift', 'GuidedGradCam']",False
spatial_entropy,RandomLogit,MarginPullback,0.9632714986801147,0.084,['DeepLift'],False
spatial_entropy,RandomLogit,Gradient,0.9649373292922974,-0.026,[],True
spatial_entropy,RandomLogit,Saliency,0.9649373292922974,0.338,"['DeepLift', 'MarginPullback']",False
spatial_entropy,RandomLogit,DistributionPullback,0.9657719135284424,-0.059,[],True
spatial_entropy,RandomLogit,SoftPullback,0.9658064842224121,-0.018,"['DistributionPullback', 'Gradient']",False
spatial_entropy,RandomLogit,DoublePullback,0.9667124152183533,0.006,"['DistributionPullback', 'Gradient', 'SoftPullback']",False
spatial_entropy,RandomLogit,MarginAscent,0.9710930585861206,0.022,"['DeepLift', 'DistributionPullback', 'DoublePullback', 'Gradient', 'SoftPullback']",False
spatial_entropy,RandomLogit,PullbackAscent,0.9718440771102905,0.011,"['DistributionPullback', 'DoublePullback', 'Gradient', 'SoftPullback']",False
effective_support,FaithfulnessCorrelation,GuidedGradCam,0.21072866022586823,0.009,[],True
effective_support,FaithfulnessCorrelation,DeepLift,0.5312194228172302,-0.006,['GuidedGradCam'],False
effective_support,FaithfulnessCorrelation,Deconvolution,0.6689035296440125,-0.004,['GuidedGradCam'],False
effective_support,FaithfulnessCorrelation,MarginPullback,0.6777865290641785,0.058,[],True
effective_support,FaithfulnessCorrelation,Gradient,0.6862553358078003,0.014,['MarginPullback'],False
effective_support,FaithfulnessCorrelation,Saliency,0.6862553358078003,0.01,['MarginPullback'],False
effective_support,FaithfulnessCorrelation,DistributionPullback,0.6936228275299072,0.073,[],True
effective_support,FaithfulnessCorrelation,SoftPullback,0.6942030191421509,0.072,['DistributionPullback'],False
effective_support,FaithfulnessCorrelation,DoublePullback,0.7008340954780579,0.053,"['DistributionPullback', 'MarginPullback', 'SoftPullback']",False
effective_support,FaithfulnessCorrelation,MarginAscent,0.7332326173782349,0.038,"['DistributionPullback', 'DoublePullback', 'MarginPullback', 'SoftPullback']",False
effective_support,FaithfulnessCorrelation,PullbackAscent,0.7388874292373657,0.045,"['DistributionPullback', 'DoublePullback', 'MarginPullback', 'SoftPullback']",False
effective_support,MonotonicityCorrelation,GuidedGradCam,0.21072866022586823,0.402,[],True
effective_support,MonotonicityCorrelation,DeepLift,0.5312194228172302,0.305,['GuidedGradCam'],False
effective_support,MonotonicityCorrelation,Deconvolution,0.6689035296440125,0.216,"['DeepLift', 'GuidedGradCam']",False
effective_support,MonotonicityCorrelation,MarginPullback,0.6777865290641785,0.226,"['DeepLift', 'GuidedGradCam']",False
effective_support,MonotonicityCorrelation,Gradient,0.6862553358078003,0.157,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
effective_support,MonotonicityCorrelation,Saliency,0.6862553358078003,0.157,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
effective_support,MonotonicityCorrelation,DistributionPullback,0.6936228275299072,0.208,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
effective_support,MonotonicityCorrelation,SoftPullback,0.6942030191421509,0.208,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
effective_support,MonotonicityCorrelation,DoublePullback,0.7008340954780579,0.207,"['Deconvolution', 'DeepLift', 'DistributionPullback', 'GuidedGradCam', 'MarginPullback', 'SoftPullback']",False
effective_support,MonotonicityCorrelation,MarginAscent,0.7332326173782349,0.228,"['DeepLift', 'GuidedGradCam']",False
effective_support,MonotonicityCorrelation,PullbackAscent,0.7388874292373657,0.234,"['DeepLift', 'GuidedGradCam']",False
effective_support,FaithfulnessEstimate,GuidedGradCam,0.21072866022586823,0.072,[],True
effective_support,FaithfulnessEstimate,DeepLift,0.5312194228172302,-0.152,['GuidedGradCam'],False
effective_support,FaithfulnessEstimate,Deconvolution,0.6689035296440125,0.173,[],True
effective_support,FaithfulnessEstimate,MarginPullback,0.6777865290641785,0.557,[],True
effective_support,FaithfulnessEstimate,Gradient,0.6862553358078003,0.384,['MarginPullback'],False
effective_support,FaithfulnessEstimate,Saliency,0.6862553358078003,0.071,"['Deconvolution', 'GuidedGradCam', 'MarginPullback']",False
effective_support,FaithfulnessEstimate,DistributionPullback,0.6936228275299072,0.281,"['Gradient', 'MarginPullback']",False
effective_support,FaithfulnessEstimate,SoftPullback,0.6942030191421509,0.515,['MarginPullback'],False
effective_support,FaithfulnessEstimate,DoublePullback,0.7008340954780579,0.362,"['Gradient', 'MarginPullback', 'SoftPullback']",False
effective_support,FaithfulnessEstimate,MarginAscent,0.7332326173782349,0.686,[],True
effective_support,FaithfulnessEstimate,PullbackAscent,0.7388874292373657,0.629,['MarginAscent'],False
effective_support,MaxSensitivity,GuidedGradCam,0.21072866022586823,0.189,[],True
effective_support,MaxSensitivity,DeepLift,0.5312194228172302,0.692,['GuidedGradCam'],False
effective_support,MaxSensitivity,Deconvolution,0.6689035296440125,0.181,[],True
effective_support,MaxSensitivity,MarginPullback,0.6777865290641785,0.41,"['Deconvolution', 'GuidedGradCam']",False
effective_support,MaxSensitivity,Gradient,0.6862553358078003,1.03,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
effective_support,MaxSensitivity,Saliency,0.6862553358078003,0.811,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
effective_support,MaxSensitivity,DistributionPullback,0.6936228275299072,0.411,"['Deconvolution', 'GuidedGradCam', 'MarginPullback']",False
effective_support,MaxSensitivity,SoftPullback,0.6942030191421509,0.401,"['Deconvolution', 'GuidedGradCam']",False
effective_support,MaxSensitivity,DoublePullback,0.7008340954780579,0.616,"['Deconvolution', 'DistributionPullback', 'GuidedGradCam', 'MarginPullback', 'SoftPullback']",False
effective_support,MaxSensitivity,MarginAscent,0.7332326173782349,1.052,"['Deconvolution', 'DeepLift', 'DistributionPullback', 'DoublePullback', 'Gradient', 'GuidedGradCam', 'MarginPullback', 'Saliency', 'SoftPullback']",False
effective_support,MaxSensitivity,PullbackAscent,0.7388874292373657,1.054,"['Deconvolution', 'DeepLift', 'DistributionPullback', 'DoublePullback', 'Gradient', 'GuidedGradCam', 'MarginAscent', 'MarginPullback', 'Saliency', 'SoftPullback']",False
effective_support,RandomLogit,GuidedGradCam,0.21072866022586823,0.364,[],True
effective_support,RandomLogit,DeepLift,0.5312194228172302,0.013,[],True
effective_support,RandomLogit,Deconvolution,0.6689035296440125,1.0,"['DeepLift', 'GuidedGradCam']",False
effective_support,RandomLogit,MarginPullback,0.6777865290641785,0.084,['DeepLift'],False
effective_support,RandomLogit,Gradient,0.6862553358078003,-0.026,[],True
effective_support,RandomLogit,Saliency,0.6862553358078003,0.338,"['DeepLift', 'MarginPullback']",False
effective_support,RandomLogit,DistributionPullback,0.6936228275299072,-0.059,[],True
effective_support,RandomLogit,SoftPullback,0.6942030191421509,-0.018,"['DistributionPullback', 'Gradient']",False
effective_support,RandomLogit,DoublePullback,0.7008340954780579,0.006,"['DistributionPullback', 'Gradient', 'SoftPullback']",False
effective_support,RandomLogit,MarginAscent,0.7332326173782349,0.022,"['DeepLift', 'DistributionPullback', 'DoublePullback', 'Gradient', 'SoftPullback']",False
effective_support,RandomLogit,PullbackAscent,0.7388874292373657,0.011,"['DistributionPullback', 'DoublePullback', 'Gradient', 'SoftPullback']",False
top1pct_mass,FaithfulnessCorrelation,GuidedGradCam,0.239938884973526,0.009,[],True
top1pct_mass,FaithfulnessCorrelation,DeepLift,0.10754987597465515,-0.006,['GuidedGradCam'],False
top1pct_mass,FaithfulnessCorrelation,MarginPullback,0.07134881615638733,0.058,[],True
top1pct_mass,FaithfulnessCorrelation,Saliency,0.070015549659729,0.01,['MarginPullback'],False
top1pct_mass,FaithfulnessCorrelation,Gradient,0.070015549659729,0.014,['MarginPullback'],False
top1pct_mass,FaithfulnessCorrelation,DistributionPullback,0.06762947887182236,0.073,[],True
top1pct_mass,FaithfulnessCorrelation,SoftPullback,0.06761253625154495,0.072,['DistributionPullback'],False
top1pct_mass,FaithfulnessCorrelation,DoublePullback,0.06735433638095856,0.053,"['DistributionPullback', 'MarginPullback', 'SoftPullback']",False
top1pct_mass,FaithfulnessCorrelation,Deconvolution,0.06074129790067673,-0.004,"['DistributionPullback', 'DoublePullback', 'Gradient', 'GuidedGradCam', 'MarginPullback', 'Saliency', 'SoftPullback']",False
top1pct_mass,FaithfulnessCorrelation,MarginAscent,0.05545046553015709,0.038,"['DistributionPullback', 'DoublePullback', 'MarginPullback', 'SoftPullback']",False
top1pct_mass,FaithfulnessCorrelation,PullbackAscent,0.05468519404530525,0.045,"['DistributionPullback', 'DoublePullback', 'MarginPullback', 'SoftPullback']",False
top1pct_mass,MonotonicityCorrelation,GuidedGradCam,0.239938884973526,0.402,[],True
top1pct_mass,MonotonicityCorrelation,DeepLift,0.10754987597465515,0.305,['GuidedGradCam'],False
top1pct_mass,MonotonicityCorrelation,MarginPullback,0.07134881615638733,0.226,"['DeepLift', 'GuidedGradCam']",False
top1pct_mass,MonotonicityCorrelation,Saliency,0.070015549659729,0.157,"['DeepLift', 'GuidedGradCam', 'MarginPullback']",False
top1pct_mass,MonotonicityCorrelation,Gradient,0.070015549659729,0.157,"['DeepLift', 'GuidedGradCam', 'MarginPullback']",False
top1pct_mass,MonotonicityCorrelation,DistributionPullback,0.06762947887182236,0.208,"['DeepLift', 'GuidedGradCam', 'MarginPullback']",False
top1pct_mass,MonotonicityCorrelation,SoftPullback,0.06761253625154495,0.208,"['DeepLift', 'GuidedGradCam', 'MarginPullback']",False
top1pct_mass,MonotonicityCorrelation,DoublePullback,0.06735433638095856,0.207,"['DeepLift', 'DistributionPullback', 'GuidedGradCam', 'MarginPullback', 'SoftPullback']",False
top1pct_mass,MonotonicityCorrelation,Deconvolution,0.06074129790067673,0.216,"['DeepLift', 'GuidedGradCam', 'MarginPullback']",False
top1pct_mass,MonotonicityCorrelation,MarginAscent,0.05545046553015709,0.228,"['DeepLift', 'GuidedGradCam']",False
top1pct_mass,MonotonicityCorrelation,PullbackAscent,0.05468519404530525,0.234,"['DeepLift', 'GuidedGradCam']",False
top1pct_mass,FaithfulnessEstimate,GuidedGradCam,0.239938884973526,0.072,[],True
top1pct_mass,FaithfulnessEstimate,DeepLift,0.10754987597465515,-0.152,['GuidedGradCam'],False
top1pct_mass,FaithfulnessEstimate,MarginPullback,0.07134881615638733,0.557,[],True
top1pct_mass,FaithfulnessEstimate,Saliency,0.070015549659729,0.071,"['GuidedGradCam', 'MarginPullback']",False
top1pct_mass,FaithfulnessEstimate,Gradient,0.070015549659729,0.384,['MarginPullback'],False
top1pct_mass,FaithfulnessEstimate,DistributionPullback,0.06762947887182236,0.281,"['Gradient', 'MarginPullback']",False
top1pct_mass,FaithfulnessEstimate,SoftPullback,0.06761253625154495,0.515,['MarginPullback'],False
top1pct_mass,FaithfulnessEstimate,DoublePullback,0.06735433638095856,0.362,"['Gradient', 'MarginPullback', 'SoftPullback']",False
top1pct_mass,FaithfulnessEstimate,Deconvolution,0.06074129790067673,0.173,"['DistributionPullback', 'DoublePullback', 'Gradient', 'MarginPullback', 'SoftPullback']",False
top1pct_mass,FaithfulnessEstimate,MarginAscent,0.05545046553015709,0.686,[],True
top1pct_mass,FaithfulnessEstimate,PullbackAscent,0.05468519404530525,0.629,['MarginAscent'],False
top1pct_mass,MaxSensitivity,GuidedGradCam,0.239938884973526,0.189,[],True
top1pct_mass,MaxSensitivity,DeepLift,0.10754987597465515,0.692,['GuidedGradCam'],False
top1pct_mass,MaxSensitivity,MarginPullback,0.07134881615638733,0.41,['GuidedGradCam'],False
top1pct_mass,MaxSensitivity,Saliency,0.070015549659729,0.811,"['DeepLift', 'GuidedGradCam', 'MarginPullback']",False
top1pct_mass,MaxSensitivity,Gradient,0.070015549659729,1.03,"['DeepLift', 'GuidedGradCam', 'MarginPullback']",False
top1pct_mass,MaxSensitivity,DistributionPullback,0.06762947887182236,0.411,"['GuidedGradCam', 'MarginPullback']",False
top1pct_mass,MaxSensitivity,SoftPullback,0.06761253625154495,0.401,['GuidedGradCam'],False
top1pct_mass,MaxSensitivity,DoublePullback,0.06735433638095856,0.616,"['DistributionPullback', 'GuidedGradCam', 'MarginPullback', 'SoftPullback']",False
top1pct_mass,MaxSensitivity,Deconvolution,0.06074129790067673,0.181,[],True
top1pct_mass,MaxSensitivity,MarginAscent,0.05545046553015709,1.052,"['Deconvolution', 'DeepLift', 'DistributionPullback', 'DoublePullback', 'Gradient', 'GuidedGradCam', 'MarginPullback', 'Saliency', 'SoftPullback']",False
top1pct_mass,MaxSensitivity,PullbackAscent,0.05468519404530525,1.054,"['Deconvolution', 'DeepLift', 'DistributionPullback', 'DoublePullback', 'Gradient', 'GuidedGradCam', 'MarginAscent', 'MarginPullback', 'Saliency', 'SoftPullback']",False
top1pct_mass,RandomLogit,GuidedGradCam,0.239938884973526,0.364,[],True
top1pct_mass,RandomLogit,DeepLift,0.10754987597465515,0.013,[],True
top1pct_mass,RandomLogit,MarginPullback,0.07134881615638733,0.084,['DeepLift'],False
top1pct_mass,RandomLogit,Saliency,0.070015549659729,0.338,"['DeepLift', 'MarginPullback']",False
top1pct_mass,RandomLogit,Gradient,0.070015549659729,-0.026,[],True
top1pct_mass,RandomLogit,DistributionPullback,0.06762947887182236,-0.059,[],True
top1pct_mass,RandomLogit,SoftPullback,0.06761253625154495,-0.018,"['DistributionPullback', 'Gradient']",False
top1pct_mass,RandomLogit,DoublePullback,0.06735433638095856,0.006,"['DistributionPullback', 'Gradient', 'SoftPullback']",False
