method,sample,measure,value
SoftPullback,32,top5pct_mass,0.1796615719795227
SoftPullback,33,top5pct_mass,0.26028212904930115
SoftPullback,34,top5pct_mass,0.16597796976566315
SoftPullback,35,top5pct_mass,0.176543191075325
SoftPullback,36,top5pct_mass,0.19044141471385956
SoftPullback,37,top5pct_mass,0.18959951400756836
SoftPullback,38,top5pct_mass,0.18535061180591583
SoftPullback,39,top5pct_mass,0.2583886682987213
SoftPullback,40,top5pct_mass,0.1874551922082901
SoftPullback,41,top5pct_mass,0.17638155817985535
SoftPullback,42,top5pct_mass,0.17669200897216797
SoftPullback,43,top5pct_mass,0.2537943720817566
SoftPullback,44,top5pct_mass,0.20594225823879242
SoftPullback,45,top5pct_mass,0.21647508442401886
SoftPullback,46,top5pct_mass,0.17505675554275513
SoftPullback,47,top5pct_mass,0.18879544734954834
SoftPullback,48,top5pct_mass,0.24171143770217896
SoftPullback,49,top5pct_mass,0.1940787136554718
SoftPullback,50,top5pct_mass,0.22902776300907135
SoftPullback,51,top5pct_mass,0.20796462893486023
SoftPullback,52,top5pct_mass,0.1923215687274933
SoftPullback,53,top5pct_mass,0.2453228086233139
SoftPullback,54,top5pct_mass,0.21712598204612732
SoftPullback,55,top5pct_mass,0.2925225496292114
SoftPullback,56,top5pct_mass,0.2076583355665207
SoftPullback,57,top5pct_mass,0.20405438542366028
SoftPullback,58,top5pct_mass,0.27399957180023193
SoftPullback,59,top5pct_mass,0.2063264548778534
SoftPullback,60,top5pct_mass,0.17886006832122803
SoftPullback,61,top5pct_mass,0.19411298632621765
SoftPullback,62,top5pct_mass,0.2173473984003067
SoftPullback,63,top5pct_mass,0.23936937749385834
SoftPullback,0,total_variation,0.5661734342575073
SoftPullback,1,total_variation,0.5771285891532898
SoftPullback,2,total_variation,0.5765305757522583
SoftPullback,3,total_variation,0.543700098991394
SoftPullback,4,total_variation,0.5588701963424683
SoftPullback,5,total_variation,0.5350931882858276
SoftPullback,6,total_variation,0.5772814750671387
SoftPullback,7,total_variation,0.5003775954246521
SoftPullback,8,total_variation,0.49660661816596985
SoftPullback,9,total_variation,0.5021549463272095
SoftPullback,10,total_variation,0.5265319347381592
SoftPullback,11,total_variation,0.5899215936660767
SoftPullback,12,total_variation,0.5232843160629272
SoftPullback,13,total_variation,0.5310031175613403
SoftPullback,14,total_variation,0.5483423471450806
SoftPullback,15,total_variation,0.5572233200073242
SoftPullback,16,total_variation,0.5269502401351929
SoftPullback,17,total_variation,0.5525837540626526
SoftPullback,18,total_variation,0.4983132779598236
SoftPullback,19,total_variation,0.5142792463302612
SoftPullback,20,total_variation,0.5712200403213501
SoftPullback,21,total_variation,0.616439938545227
SoftPullback,22,total_variation,0.5028347969055176
SoftPullback,23,total_variation,0.5100518465042114
SoftPullback,24,total_variation,0.5518945455551147
SoftPullback,25,total_variation,0.5366922616958618
SoftPullback,26,total_variation,0.5429157018661499
SoftPullback,27,total_variation,0.5465478897094727
SoftPullback,28,total_variation,0.4617065191268921
SoftPullback,29,total_variation,0.5161314606666565
SoftPullback,30,total_variation,0.5116355419158936
SoftPullback,31,total_variation,0.5049872398376465
SoftPullback,32,total_variation,0.5492120981216431
SoftPullback,33,total_variation,0.4749659597873688
SoftPullback,34,total_variation,0.5286157727241516
SoftPullback,35,total_variation,0.5784759521484375
SoftPullback,36,total_variation,0.5666110515594482
SoftPullback,37,total_variation,0.4791349172592163
SoftPullback,38,total_variation,0.559890627861023
SoftPullback,39,total_variation,0.5409194231033325
SoftPullback,40,total_variation,0.5054728984832764
SoftPullback,41,total_variation,0.5178818702697754
SoftPullback,42,total_variation,0.5695217847824097
SoftPullback,43,total_variation,0.5416200757026672
SoftPullback,44,total_variation,0.5575693845748901
SoftPullback,45,total_variation,0.5136770606040955
SoftPullback,46,total_variation,0.5054795145988464
SoftPullback,47,total_variation,0.48061713576316833
SoftPullback,48,total_variation,0.5564913749694824
SoftPullback,49,total_variation,0.5239698886871338
SoftPullback,50,total_variation,0.5564842224121094
SoftPullback,51,total_variation,0.5302485227584839
SoftPullback,52,total_variation,0.5700770020484924
SoftPullback,53,total_variation,0.5559821128845215
SoftPullback,54,total_variation,0.5473240613937378
SoftPullback,55,total_variation,0.5500484704971313
SoftPullback,56,total_variation,0.5332127809524536
SoftPullback,57,total_variation,0.5111534595489502
SoftPullback,58,total_variation,0.5493423938751221
SoftPullback,59,total_variation,0.578700065612793
SoftPullback,60,total_variation,0.547565221786499
SoftPullback,61,total_variation,0.46895259618759155
SoftPullback,62,total_variation,0.5210102796554565
SoftPullback,63,total_variation,0.5721210241317749
SoftPullback,0,channel_cancellation,0.18753093481063843
SoftPullback,1,channel_cancellation,0.18382394313812256
SoftPullback,2,channel_cancellation,0.19905072450637817
SoftPullback,3,channel_cancellation,0.19294190406799316
SoftPullback,4,channel_cancellation,0.18003642559051514
SoftPullback,5,channel_cancellation,0.2140304446220398
SoftPullback,6,channel_cancellation,0.1808362603187561
SoftPullback,7,channel_cancellation,0.2343231439590454
SoftPullback,8,channel_cancellation,0.2082219123840332
SoftPullback,9,channel_cancellation,0.1827162504196167
SoftPullback,10,channel_cancellation,0.2031918168067932
SoftPullback,11,channel_cancellation,0.1536070704460144
SoftPullback,12,channel_cancellation,0.19695502519607544
SoftPullback,13,channel_cancellation,0.18250000476837158
SoftPullback,14,channel_cancellation,0.17290282249450684
SoftPullback,15,channel_cancellation,0.19037270545959473
SoftPullback,16,channel_cancellation,0.2506147623062134
SoftPullback,17,channel_cancellation,0.18419647216796875
SoftPullback,18,channel_cancellation,0.18386828899383545
SoftPullback,19,channel_cancellation,0.22576653957366943
SoftPullback,20,channel_cancellation,0.1731189489364624
SoftPullback,21,channel_cancellation,0.1289418339729309
SoftPullback,22,channel_cancellation,0.181984543800354
SoftPullback,23,channel_cancellation,0.2178788185119629
SoftPullback,24,channel_cancellation,0.2078307867050171
SoftPullback,25,channel_cancellation,0.215745210647583
SoftPullback,26,channel_cancellation,0.19140243530273438
SoftPullback,27,channel_cancellation,0.2140393853187561
SoftPullback,28,channel_cancellation,0.24206209182739258
SoftPullback,29,channel_cancellation,0.18600845336914062
SoftPullback,30,channel_cancellation,0.21462112665176392
SoftPullback,31,channel_cancellation,0.21744388341903687
SoftPullback,32,channel_cancellation,0.19732517004013062
SoftPullback,33,channel_cancellation,0.20291072130203247
SoftPullback,34,channel_cancellation,0.2162829041481018
SoftPullback,35,channel_cancellation,0.1627478003501892
SoftPullback,36,channel_cancellation,0.1809988021850586
SoftPullback,37,channel_cancellation,0.26125216484069824
SoftPullback,38,channel_cancellation,0.16031813621520996
SoftPullback,39,channel_cancellation,0.19711029529571533
SoftPullback,40,channel_cancellation,0.23512929677963257
SoftPullback,41,channel_cancellation,0.2348562479019165
SoftPullback,42,channel_cancellation,0.1888192892074585
SoftPullback,43,channel_cancellation,0.2270578145980835
SoftPullback,44,channel_cancellation,0.18170589208602905
SoftPullback,45,channel_cancellation,0.1669248342514038
SoftPullback,46,channel_cancellation,0.23739510774612427
SoftPullback,47,channel_cancellation,0.2015501856803894
SoftPullback,48,channel_cancellation,0.20391249656677246
SoftPullback,49,channel_cancellation,0.23412948846817017
SoftPullback,50,channel_cancellation,0.1630992889404297
SoftPullback,51,channel_cancellation,0.19840705394744873
SoftPullback,52,channel_cancellation,0.1839456558227539
SoftPullback,53,channel_cancellation,0.19039124250411987
SoftPullback,54,channel_cancellation,0.2333998680114746
SoftPullback,55,channel_cancellation,0.17347818613052368
SoftPullback,56,channel_cancellation,0.20331323146820068
SoftPullback,57,channel_cancellation,0.18589121103286743
SoftPullback,58,channel_cancellation,0.17222970724105835
SoftPullback,59,channel_cancellation,0.1590946912765503
SoftPullback,60,channel_cancellation,0.20421642065048218
SoftPullback,61,channel_cancellation,0.1887829303741455
SoftPullback,62,channel_cancellation,0.16896122694015503
SoftPullback,63,channel_cancellation,0.18648391962051392
DoublePullback,0,gini,0.4442978501319885
DoublePullback,1,gini,0.45394423604011536
DoublePullback,2,gini,0.3981916606426239
DoublePullback,3,gini,0.42240673303604126
DoublePullback,4,gini,0.38829877972602844
DoublePullback,5,gini,0.4674643576145172
DoublePullback,6,gini,0.3911156952381134
DoublePullback,7,gini,0.4948582053184509
DoublePullback,8,gini,0.44411319494247437
DoublePullback,9,gini,0.49598655104637146
DoublePullback,10,gini,0.4245096445083618
DoublePullback,11,gini,0.4240407645702362
DoublePullback,12,gini,0.45696187019348145
DoublePullback,13,gini,0.5734909176826477
DoublePullback,14,gini,0.4212946593761444
DoublePullback,15,gini,0.5328999757766724
DoublePullback,16,gini,0.4562203288078308
DoublePullback,17,gini,0.422649621963501
DoublePullback,18,gini,0.45138654112815857
DoublePullback,19,gini,0.47334927320480347
DoublePullback,20,gini,0.45164334774017334
DoublePullback,21,gini,0.4712305963039398
DoublePullback,22,gini,0.4500410854816437
DoublePullback,23,gini,0.467619925737381
DoublePullback,24,gini,0.507838785648346
DoublePullback,25,gini,0.41320401430130005
DoublePullback,26,gini,0.40342289209365845
DoublePullback,27,gini,0.4033134877681732
DoublePullback,28,gini,0.40055325627326965
DoublePullback,29,gini,0.42475780844688416
DoublePullback,30,gini,0.459432452917099
DoublePullback,31,gini,0.40843501687049866
DoublePullback,32,gini,0.40519553422927856
DoublePullback,33,gini,0.5456998348236084
DoublePullback,34,gini,0.3781554102897644
DoublePullback,35,gini,0.38688793778419495
DoublePullback,36,gini,0.42638006806373596
DoublePullback,37,gini,0.4303221106529236
DoublePullback,38,gini,0.4716660678386688
DoublePullback,39,gini,0.5213153958320618
DoublePullback,40,gini,0.39390459656715393
DoublePullback,41,gini,0.37064191699028015
DoublePullback,42,gini,0.386828750371933
DoublePullback,43,gini,0.4366249442100525
DoublePullback,44,gini,0.42958706617355347
DoublePullback,45,gini,0.45025816559791565
DoublePullback,46,gini,0.4127192795276642
DoublePullback,47,gini,0.4268837869167328
DoublePullback,48,gini,0.5540704727172852
DoublePullback,49,gini,0.40608295798301697
DoublePullback,50,gini,0.4511881470680237
DoublePullback,51,gini,0.4487098455429077
DoublePullback,52,gini,0.40335091948509216
DoublePullback,53,gini,0.5278329849243164
DoublePullback,54,gini,0.49533694982528687
DoublePullback,55,gini,0.5232728123664856
DoublePullback,56,gini,0.4225493371486664
DoublePullback,57,gini,0.48579302430152893
DoublePullback,58,gini,0.5339257717132568
DoublePullback,59,gini,0.46995580196380615
DoublePullback,60,gini,0.4035341441631317
DoublePullback,61,gini,0.543827474117279
DoublePullback,62,gini,0.4685051441192627
DoublePullback,63,gini,0.40825918316841125
DoublePullback,0,spatial_entropy,0.9679682850837708
DoublePullback,1,spatial_entropy,0.9674590826034546
DoublePullback,2,spatial_entropy,0.9750984907150269
DoublePullback,3,spatial_entropy,0.9699888825416565
DoublePullback,4,spatial_entropy,0.9765421748161316
DoublePullback,5,spatial_entropy,0.9654773473739624
DoublePullback,6,spatial_entropy,0.9761890172958374
DoublePullback,7,spatial_entropy,0.9586759209632874
DoublePullback,8,spatial_entropy,0.9681295156478882
DoublePullback,9,spatial_entropy,0.9606770277023315
DoublePullback,10,spatial_entropy,0.9715184569358826
DoublePullback,11,spatial_entropy,0.9715328216552734
DoublePullback,12,spatial_entropy,0.9647766947746277
DoublePullback,13,spatial_entropy,0.9459313154220581
DoublePullback,14,spatial_entropy,0.9721471667289734
DoublePullback,15,spatial_entropy,0.9520680904388428
DoublePullback,16,spatial_entropy,0.9669649600982666
DoublePullback,17,spatial_entropy,0.9717475771903992
DoublePullback,18,spatial_entropy,0.96822190284729
DoublePullback,19,spatial_entropy,0.9640432596206665
DoublePullback,20,spatial_entropy,0.9671035408973694
DoublePullback,21,spatial_entropy,0.9639581441879272
DoublePullback,22,spatial_entropy,0.9678943753242493
DoublePullback,23,spatial_entropy,0.9643052816390991
DoublePullback,24,spatial_entropy,0.9566742181777954
DoublePullback,25,spatial_entropy,0.9730457067489624
DoublePullback,26,spatial_entropy,0.974423348903656
DoublePullback,27,spatial_entropy,0.9744068384170532
DoublePullback,28,spatial_entropy,0.975162148475647
DoublePullback,29,spatial_entropy,0.9717106223106384
DoublePullback,30,spatial_entropy,0.9632888436317444
DoublePullback,31,spatial_entropy,0.9739036560058594
DoublePullback,32,spatial_entropy,0.974509596824646
DoublePullback,33,spatial_entropy,0.9267943501472473
DoublePullback,34,spatial_entropy,0.9778512716293335
DoublePullback,35,spatial_entropy,0.9766956567764282
DoublePullback,36,spatial_entropy,0.9714261293411255
DoublePullback,37,spatial_entropy,0.9708940982818604
DoublePullback,38,spatial_entropy,0.9637890458106995
DoublePullback,39,spatial_entropy,0.9561001062393188
DoublePullback,40,spatial_entropy,0.9755626320838928
DoublePullback,41,spatial_entropy,0.9787049293518066
DoublePullback,42,spatial_entropy,0.9765012264251709
DoublePullback,43,spatial_entropy,0.9685978889465332
DoublePullback,44,spatial_entropy,0.970722496509552
DoublePullback,45,spatial_entropy,0.9668481349945068
DoublePullback,46,spatial_entropy,0.9731036424636841
DoublePullback,47,spatial_entropy,0.9712472558021545
DoublePullback,48,spatial_entropy,0.9488118886947632
DoublePullback,49,spatial_entropy,0.9741441011428833
DoublePullback,50,spatial_entropy,0.968063235282898
DoublePullback,51,spatial_entropy,0.9681832790374756
DoublePullback,52,spatial_entropy,0.974208414554596
DoublePullback,53,spatial_entropy,0.9539383053779602
DoublePullback,54,spatial_entropy,0.9591996669769287
DoublePullback,55,spatial_entropy,0.9538124203681946
DoublePullback,56,spatial_entropy,0.9720509052276611
DoublePullback,57,spatial_entropy,0.9599202275276184
DoublePullback,58,spatial_entropy,0.9509933590888977
DoublePullback,59,spatial_entropy,0.9626569151878357
DoublePullback,60,spatial_entropy,0.9743793606758118
DoublePullback,61,spatial_entropy,0.9508844614028931
DoublePullback,62,spatial_entropy,0.9645260572433472
DoublePullback,63,spatial_entropy,0.973440945148468
DoublePullback,0,effective_support,0.7070254683494568
DoublePullback,1,effective_support,0.7031397223472595
